dataset,source,url,artifact_types,size_bytes,ground_truth,license,purpose,download_status,preprocessing_status,vigilant_usage,sha256,downloaded_at
LiSSA README research asset,ArDoCo/LiSSA,https://raw.githubusercontent.com/ArDoCo/LiSSA/main/README.md,documentation,7658,none,MIT,Inspect public TLR framework scope and evaluation claims,DOWNLOADED,INSPECTED_TEXT,reference only,e25d6506cc652f7b62497edfb4413c9ea25fabab6ea6483971af794bd5235c30,2026-09-23T07:24:07.630326+00:00
ARDoCo README research asset,ardoco/ardoco,https://raw.githubusercontent.com/ardoco/ardoco/main/README.md,documentation,2610,none,project license,Inspect architecture traceability and inconsistency framing,DOWNLOADED,INSPECTED_TEXT,reference only,8acd36256991dfc7cfa88fa8ad396acc1bc44111aa0f9076e2db06825ab6bc85,2026-09-23T07:24:08.078285+00:00
